nome;squadra_sigla;ruolo;quotazione;mercato;dispersione;prezzo_profeta_norm1000;pma_profeta;fascia_profeta;prezzo_recosta_norm1000;pma_recosta;fascia_recosta;mv;fmv;presenze;minuti;gol;assist;titolarita;affidabilita;integrita
Tiago Gabriel;LEC;D;7;14.1;8.8;18.5;1.0;4° Slot Relativo;9.7;1.0;Quarta;6;6.01;36;3220;2;0;5;4;5
Vasquez;GEN;D;9;14.1;8.8;18.5;2.0;4° Slot Relativo;9.7;2.0;Quarta;6.08;6.14;36;3217;1;0;5;4;4
Fagioli;FIO;C;8;14.1;8.8;18.5;0.4;6° Slot Relativo;9.7;0.4;SCOMMESSA;6.03;6.23;33;2567;2;3;4;4;3
Schmid;FRO;C;8;14.1;8.8;18.5;0.4;6° Slot Relativo;9.7;0.4;SCOMMESSA;0;0;34;2993;0;0;4;3;4
Volpato;SAS;C;7;14.1;8.8;18.5;0.2;6° Slot Relativo;9.7;0.2;ALTO POTENZIALE;6.14;6.52;21;1062;2;4;3;4;2
Esposito Se.;CAG;A;13;14.1;8.8;18.5;0.4;5° Slot Relativo;9.7;0.4;POSS OCCASIONE;6.26;6.87;36;2702;7;4;1;3;3
Kelly L.;JUV;D;5;13.7;4.2;15.8;0.8;5° Slot Relativo;11.6;0.8;Quarta;6.01;6.07;35;2997;1;1;3;4;4
Busio;VEN;C;5;13.2;10.7;18.5;0.4;6° Slot Relativo;7.8;0.4;Quarta;0;0;37;3205;7;4;5;3;3
Carlos Augusto;INT;D;7;12.8;6.1;15.8;1.2;5° Slot Relativo;9.7;1.2;SCOMMESSA;6.13;6.17;28;1753;1;1;3;4;3
Kaiki;COM;D;7;12.8;6.1;15.8;1.6;5° Slot Relativo;9.7;1.6;Quarta;0;0;0;;0;0;3;3;5
Rensch;ROM;D;5;12.8;6.1;15.8;0.3;6° Slot Relativo;9.7;0.3;SCOMMESSA;6.16;6.5;19;1178;1;4;3;4;2
Caqueret;COM;C;6;12.8;6.1;15.8;0.2;7° Slot relativo;9.7;0.2;SCOMMESSA;6.11;6.41;28;1488;2;4;3;4;4
Colpani;MON;C;8;12.8;6.1;15.8;1.2;7° Slot relativo;9.7;1.2;ALTO POTENZIALE;0;0;27;1432;2;1;3;4;3
Odgaard;BOL;C;8;12.8;6.1;15.8;0.3;7° Slot relativo;9.7;0.3;ALTO POTENZIALE;5.91;6.61;22;1381;5;1;3;3;3
Pasalic;ATA;C;9;12.8;6.1;15.8;0.6;7° Slot relativo;9.7;0.6;ALTO POTENZIALE;5.94;6.28;31;1932;3;3;3;3;5
Norton-Cuffy;GEN;D;8;12.4;6.2;9.3;2.4;6° Slot Relativo;15.5;2.4;Quarta;5.93;6.1;27;2216;2;1;5;4;2
Adzic;SAS;C;5;11.6;19.4;21.3;0.8;5° Slot Relativo;1.9;0.8;ALTRI;6.13;6.88;4;163;1;0;3;4;3
Cissè A.;MIL;C;3;11.6;19.4;21.3;0.2;5° Slot Relativo;1.9;0.2;ALTO POTENZIALE;0;0;22;1715;6;1;2;3;2
Valle;COM;D;6;11.4;4.3;9.3;0.8;6° Slot Relativo;13.6;0.8;Quarta;6.06;6.23;26;2026;1;3;3;4;3
Liberali;COM;C;6;11.4;4.3;9.3;1.0;7° Slot relativo;13.6;1.0;SCOMMESSA;0;0;28;1572;4;3;3;4;5
Mina;CAG;D;8;10.8;10.0;15.8;1.2;5° Slot Relativo;5.8;1.2;TITOLARE;6;6.17;26;2155;2;1;5;4;3
Mandragora;FIO;C;9;10.8;10.0;15.8;0.6;7° Slot relativo;5.8;0.6;Quarta;6.04;6.61;34;2436;7;2;3;4;3
Elmas;ATA;C;7;10.7;21.3;21.3;0.6;5° Slot Relativo;0.0;0.6;Non Impostata;5.8;5.96;28;1783;1;3;2;3;2
Varela G.;MON;A;3;10.7;21.3;21.3;0.2;4° Slot Relativo;0.0;0.2;Non Impostata;0;0;32;1519;6;3;3;3;5
Gaetano;ATA;C;7;10.2;16.6;18.5;1.2;5° Slot Relativo;1.9;1.2;TITOLARE;6.06;6.31;32;1911;2;4;3;4;3
Douglas Luiz;JUV;C;4;10.2;16.6;18.5;0.6;6° Slot Relativo;1.9;0.6;ALTO POTENZIALE;0;0;21;930;1;0;3;3;3
Muric;SAS;P;7;9.5;0.4;9.3;0.8;da abbinare;9.7;0.8;Quarta;6.08;4.77;32;2880;0;0;3;4;3
Stankovic F.;VEN;P;6;9.5;0.4;9.3;0.6;da abbinare;9.7;0.6;Quarta;0;0;38;3420;0;0;5;4;3
Ahanor;ATA;D;6;9.5;0.4;9.3;0.2;6° Slot Relativo;9.7;0.2;POSS OCCASIONE;5.79;5.69;21;1375;0;0;3;3;2
Hainaut;VEN;D;3;9.5;0.4;9.3;0.2;6° Slot Relativo;9.7;0.2;SCOMMESSA;0;0;37;3049;5;5;3;4;4
Zortea;BOL;D;6;9.5;0.4;9.3;1.0;6° Slot Relativo;9.7;1.0;ALTO POTENZIALE;5.86;5.9;28;1808;0;2;3;3;3
Coco;TOR;D;7;9.5;0.4;9.3;0.4;7° Slot relativo;9.7;0.4;SCOMMESSA;5.84;5.91;35;3090;1;1;5;4;4
Comuzzo;TOR;D;6;9.5;0.4;9.3;0.4;7° Slot relativo;9.7;0.4;TITOLARE;5.75;5.75;24;1709;1;0;4;3;3
Boga;JUV;A;6;9.5;0.4;9.3;0.6;5° Slot Relativo;9.7;0.6;POSS OCCASIONE;6.19;7.15;13;680;4;1;3;4;2
Maldini;CAG;A;5;9.5;0.4;9.3;1.2;5° Slot Relativo;9.7;1.2;SCOMMESSA;5.94;6.3;18;952;2;1;4;3;3
Zapata D.;TOR;A;7;9.5;0.4;9.3;0.2;5° Slot Relativo;9.7;0.2;FANTA ROTTO;5.83;6.13;23;1108;3;1;3;3;1
Joao Mario;FIO;D;3;9.2;18.5;18.5;0.3;4° Slot Relativo;0.0;0.3;Non Impostata;5.79;6;14;995;1;1;3;3;3
Zalewski;ATA;C;6;9.2;12.7;2.8;0.4;Non Impostata;15.5;0.4;POSS OCCASIONE;6.1;6.41;31;1905;2;5;3;4;3
Heggem;BOL;D;6;8.8;13.9;15.8;0.4;5° Slot Relativo;1.9;0.4;POSS OCCASIONE;5.84;5.8;25;2112;0;0;3;3;3
Lucumì;JUV;D;8;8.8;13.9;15.8;2.2;5° Slot Relativo;1.9;2.2;POSS OCCASIONE;5.88;5.9;28;2287;1;0;3;3;3
Romagnoli;LAZ;D;7;8.8;13.9;15.8;0.3;5° Slot Relativo;1.9;0.3;SCOMMESSA;6.03;5.91;32;2669;0;0;3;4;3
Lucca;NAP;A;3;8.8;13.9;15.8;0.2;5° Slot Relativo;1.9;0.2;ALTRI;5.72;6;9;401;1;0;1;3;3
Gabbia;MIL;D;7;8.2;10.8;2.8;1.0;7° Slot relativo;13.6;1.0;Quarta;5.91;5.84;29;2530;0;0;5;4;3
Cancellieri;LAZ;C;9;8.2;10.8;2.8;0.4;Non Impostata;13.6;0.4;ALTO POTENZIALE;5.93;6.29;28;1731;4;1;3;3;3
Cristante;ROM;C;8;8.2;10.8;2.8;0.7;Non Impostata;13.6;0.7;SCOMMESSA;6.11;6.22;37;3102;2;1;5;4;4
Raimondo;FRO;A;7;8.2;10.8;2.8;0.6;5° Slot Relativo;13.6;0.6;SCOMMESSA;0;0;36;2375;11;1;4;3;3
Cambiaghi;BOL;C;8;8.1;3.2;6.5;0.2;8° Slot Relativo;9.7;0.2;ALTO POTENZIALE;5.98;6.42;24;1519;3;4;3;4;2
Birindelli;MON;D;4;7.6;3.5;9.3;0.4;6° Slot Relativo;5.8;0.4;SCOMMESSA;0;0;37;2992;5;2;5;4;3
Dominguez B.;SAS;C;3;6.8;13.6;0.0;0.2;Non Impostata;13.6;0.2;ALTO POTENZIALE;5.83;6.04;12;543;0;3;2;3;4
Haps;VEN;D;5;6.2;6.9;2.8;0.4;7° Slot relativo;9.7;0.4;Quarta;0;0;25;1221;5;3;4;4;3
Basic;VEN;C;6;6.2;6.9;2.8;0.2;8° Slot Relativo;9.7;0.2;SCOMMESSA;6.09;6.44;23;1749;2;3;4;3;3
Berisha M.;LEC;C;5;6.2;6.9;2.8;0.2;8° Slot Relativo;9.7;0.2;SCOMMESSA;6.17;6.92;12;896;2;3;4;4;2
Unai Gomez;UDI;C;7;6.2;6.9;2.8;0.2;8° Slot Relativo;9.7;0.2;SCOMMESSA;0;0;26;977;1;1;3;3;3
Koutsoupias;FRO;C;4;6.2;6.9;2.8;0.2;Non Impostata;9.7;0.2;SCOMMESSA;0;0;34;2579;8;4;2;3;3
Pellegrini Lo.;ROM;C;10;6.2;6.9;2.8;0.2;Non Impostata;9.7;0.2;SCOMMESSA;6.04;6.58;24;1477;4;2;3;4;2
Cutrone;MON;A;9;6.2;6.9;2.8;1.1;6° Slot Relativo;9.7;1.1;TITOLARE;5.71;5.92;14;895;1;0;3;3;4
David;JUV;A;9;6.2;6.9;2.8;0.6;6° Slot Relativo;9.7;0.6;POSS OCCASIONE;5.77;6.34;30;1784;6;2;3;2;4
Elphege;PAR;A;3;6.2;6.9;2.8;0.2;6° Slot Relativo;9.7;0.2;POSS OCCASIONE;6;6.88;8;305;2;1;3;4;5
Kvernadze;FRO;A;4;6.2;6.9;2.8;0.2;Non Impostata;9.7;0.2;SCOMMESSA;0;0;36;2520;5;5;3;4;5
Provstgaard;LAZ;D;3;6.0;12.0;12.0;0.2;6° Slot Relativo;0.0;0.2;Non Impostata;5.91;5.84;23;1524;0;0;3;4;4
Gallo;LEC;D;6;5.6;7.4;9.3;0.6;6° Slot Relativo;1.9;0.6;TITOLARE;5.95;5.99;37;3079;0;3;5;4;4
Idzes;SAS;D;7;5.6;7.4;9.3;0.6;6° Slot Relativo;1.9;0.6;TITOLARE;5.94;5.91;35;3064;0;0;5;4;4
Bellanova;ATA;D;6;5.6;7.4;9.3;1.0;7° Slot relativo;1.9;1.0;ALTO POTENZIALE;5.82;5.82;22;1375;0;1;3;3;3
Hien;ATA;D;8;5.6;7.4;9.3;0.2;7° Slot relativo;1.9;0.2;FANTA ROTTO;5.91;5.86;28;1964;1;0;3;3;2
