nome;squadra_sigla;ruolo;quotazione;mercato;dispersione;prezzo_profeta_norm1000;pma_profeta;fascia_profeta;prezzo_recosta_norm1000;pma_recosta;fascia_recosta;mv;fmv;presenze;minuti;gol;assist;titolarita;affidabilita;integrita
Anjorin;TOR;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.78;5.72;9;277;0;0;2;4;2
Belahyane;LAZ;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.77;5.82;11;612;0;2;2;4;5
Boloca;SAS;C;2;0.0;0.0;0.0;0.3;Non Impostata;0.0;0.3;Non Impostata;5.75;5.75;2;136;0;0;1;3;2
Brescianini;FIO;C;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;ALTRI;5.97;6.3;18;1035;2;1;2;3;3
Cichella;FRO;C;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;36;2244;2;4;1;3;5
Colombo L.;MON;C;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;30;1379;1;3;3;3;5
Comotto;MIL;C;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;0;;0;0;1;3;5
Cremaschi;PAR;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6;6;1;136;0;0;1;3;3
Deiola;CAG;C;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.98;5.96;20;1435;0;1;3;3;3
Duncan;VEN;C;2;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;17;744;1;1;1;3;3
El Azzouzi A.;FRO;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;29;2524;1;1;3;3;3
El Azzouzi O.;BOL;C;2;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;11;814;0;0;1;3;3
Fini;FRO;C;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.5;5.5;1;31;0;0;1;3;5
Foe Ondoa;MON;C;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;0;;0;0;3;3;5
Fofana Sa.;LEC;C;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;5.5;5.5;2;87;0;0;1;3;3
Forson O.;MON;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;2;3;3
Gelli F.;FRO;C;3;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;25;1092;1;1;2;3;2
Gilmour;NAP;C;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6.08;6.27;13;802;1;0;2;4;3
Gineitis;TOR;C;5;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.87;5.81;27;1765;0;1;3;3;5
Helgason;VEN;C;3;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;5.63;5.63;4;141;0;0;2;3;3
Iannoni;SAS;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6;6.3;5;248;1;0;1;3;5
Ilic;TOR;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;ALTRI;6;5.88;8;416;0;0;1;4;2
Ilkhan;TOR;C;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.82;6;17;1017;1;2;2;3;3
Kaba;LEC;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.77;5.72;11;624;0;0;2;3;3
Konaté A.;PAR;C;1;0.0;0.0;0.0;;Non Impostata;0.0;;Non Impostata;0;0;0;;0;0;;;
Kone B.;FRO;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;19;686;1;2;1;3;3
Laerke;LEC;C;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;0;;0;0;4;3;5
Lahdo;COM;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;3
Lipani;SAS;C;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.93;5.91;21;1028;0;1;3;3;3
Liteta;CAG;C;1;0.0;0.0;0.0;0.3;Non Impostata;0.0;0.3;Non Impostata;5.75;5.75;4;267;0;0;2;2;3
Luis Henrique;INT;C;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.89;6.06;27;1621;1;2;3;3;4
Masini;FRO;C;2;0.0;0.0;0.0;0.4;Non Impostata;0.0;0.4;Non Impostata;5.98;5.91;21;1399;0;1;2;4;4
Milla;COM;C;5;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;37;3277;0;0;3;3;5
Moro N.;BOL;C;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.93;6.13;28;1798;2;0;3;3;5
Mout;MON;C;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;0;;0;0;3;3;5
Musah;MIL;C;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.94;6.1;16;652;1;0;2;3;4
Ngom;LEC;C;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.69;5.65;13;847;0;0;2;3;5
Njie;TOR;C;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.8;6.1;10;290;1;1;2;3;2
Ordonez C.;PAR;C;2;0.0;0.0;0.0;0.3;Non Impostata;0.0;0.3;Non Impostata;5.79;5.81;21;1086;1;0;1;3;5
Prati;CAG;C;4;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;5.88;5.88;32;1888;1;0;2;3;4
Ricci S.;MIL;C;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;ALTRI;6;6.16;28;1295;1;3;3;4;3
Sulemana I.;ATA;C;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.69;5.77;18;895;1;0;2;3;1
Tourè I.;MON;C;6;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.82;5.82;30;2281;1;0;3;4;4
Venturino;GEN;C;2;0.0;0.0;0.0;0.3;Non Impostata;0.0;0.3;Non Impostata;5.86;5.86;7;237;0;0;2;3;5
Zarraga;UDI;C;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.75;5.65;10;455;0;0;1;3;3
Zhegrova;JUV;C;6;0.0;0.0;0.0;0.3;Non Impostata;0.0;0.3;Non Impostata;5.96;5.92;12;364;0;0;2;4;2
Azon;COM;A;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;38;1822;5;4;2;4;5
Bayo V.;UDI;A;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.75;5.83;12;474;0;1;1;3;4
De Martis;PAR;A;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;5
Dia;LAZ;A;10;0.0;0.0;0.0;0.3;Non Impostata;0.0;0.3;Non Impostata;5.68;5.86;25;1257;1;2;3;2;2
Giovane;NAP;A;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6;6.45;31;1878;3;6;2;4;4
Gueye;UDI;A;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.77;5.92;13;404;1;0;2;3;5
Kuhn;COM;A;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.96;6.25;14;656;1;1;2;3;3
Kulenovic;TOR;A;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.71;5.71;7;294;0;1;2;3;5
Lang;NAP;A;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6.04;6.33;14;661;1;2;3;4;3
Lauberbach;VEN;A;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;22;1871;6;1;2;3;3
Lisman;VEN;A;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;13;370;0;1;1;3;1
Milik;JUV;A;5;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6;6;2;34;0;0;2;4;1
Morata;COM;A;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.5;5.21;17;923;0;0;2;2;1
Mutandwa;CAG;A;6;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;32;2409;16;3;2;4;3
N'Dri;LEC;A;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.82;6.08;17;519;2;0;3;3;3
Robinson J.;MON;A;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;26;878;2;1;2;3;5
Sulemana K.;ATA;A;6;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6;6.24;21;1001;2;1;1;4;1
Trepy;CAG;A;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6.13;6.88;4;83;1;0;2;3;5
Vaz;ROM;A;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.93;6.36;7;205;1;0;2;3;4
